Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
Khichdi Paradise,"Home Food, Desserts, Beverages, Healthy Food",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/khichdi-paradise-jp-nagar-bangalore-514531
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.9,160,Arekere,NA,https://www.swiggy.com/restaurants/home-plate-by-eatfit-near-chaitanya-school-jp-nagar-8th-phase-bangalore-285670
THE GRILL & CO.,"Indian, Tandoor, Biryani",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/the-grill-and-co-ramkoti-j-p-nagar-bangalore-351029
555 Darjeeling Unique Asian Cuisine,Asian,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/555-darjeeling-unique-asian-cuisine-arekere-panduranga-nagar-bangalore-216776
Momo Guy ,"Asian, Tibetan, Desserts, Beverages",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/momo-guy-jp-nagar-bangalore-512595
BigBites,"Street Food, Fast Food, Tex-Mex",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/bigbites-arekere-bangalore-374269
Domino's Pizza,Pizzas,NA,400,Arekere,NA,https://www.swiggy.com/restaurants/dominos-pizza-r-b-i-layout-j-p-nagar-bangalore-23848
UDTA PUNJABI SWAD,"Indian, Tandoor, Biryani, Chinese",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/udta-punjabi-swad-arekere-bangalore-435622
Samosa Singh,"Snacks, North Indian, Desserts, Beverages",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/samosa-singh-arekere-hulimavu-bangalore-238203
HUNGER TREATS,"Burgers, Snacks",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/hunger-treats-arekere-bangalore-560433
Mr Bix,"Pizzas, American",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/mr-bix-arekere-bangalore-412624
SNACKITAREA,"Continental, Indian, Chaat, Beverages, Desserts",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/snackitarea-kalena-agrahara-bangalore-407031
Healthy Beverages by Adigas,"Beverages, Juices, Healthy Food",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/healthy-beverages-by-adigas-kanakapura-road-panduranga-nagar-bangalore-318685
Kouzina Kafe - The Food Court,"Bakery, Fast Food, Beverages, American, Ice Cream, Desserts",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/kouzina-kafe-the-food-court-arekere-bangalore-387582
Indian Sweets Snacks And Chats,"Street Food, Snacks",NA,40,Arekere,NA,https://www.swiggy.com/restaurants/indian-sweets-snacks-and-chats-arekere-bangalore-466009
Sandos 'n Grills,"American, Continental, Italian, Pastas, Beverages, Desserts",NA,450,Arekere,NA,https://www.swiggy.com/restaurants/sandos-n-grills-arekere-bangalore-390631
Subway,"Fast Food, Salads, Snacks, Desserts, Beverages",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/subway-bannerghatta-main-road-arekere-bangalore-16193
New Kabab Zone,"North Indian, Chinese, Biryani",3.9,250,Arekere,NA,https://www.swiggy.com/restaurants/new-kabab-zone-akshayanagar-hulimavu-bangalore-48905
Charvi's,"Healthy Food, Salads, Juices, Fast Food",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/charvis-arekere-bangalore-534263
Chopito (Salad's and Pasta),"Indian, Salads, Pastas",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/chopito-salads-and-pasta-arekere-bangalore-294143
Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/chai-point-royal-meenakshi-mall-hulimavu-bangalore-20216
Haage Vegetarian,"Snacks, Indian, Juices",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/haage-vegetarian-arekere-bangalore-447730
Crown Restaurant,"Indian, Chinese",3.7,300,Arekere,NA,https://www.swiggy.com/restaurants/crown-restaurant-main-road-arekere-bangalore-174803
Aromatic Biryani ,"Biryani, Snacks",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/aromatic-biryani-arekere-bangalore-525550
New Atithi Biryani Corner,Indian,NA,220,Arekere,NA,https://www.swiggy.com/restaurants/new-atithi-biryani-corner-arekere-j-p-nagar-bangalore-327282
BRAHMINS CHATS And FAST FOOD,Chaat,NA,150,Arekere,NA,https://www.swiggy.com/restaurants/brahmins-chats-and-fast-food-arekere-bangalore-405091
ANNAPOORNESHWARI DONNE BIRIYANI,"Biryani, Indian, Chinese",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/annapoorneshwari-donne-biriyani-arekere-bangalore-536679
Quad Pizza,"Pizzas, Fast Food, Desserts, Italian, American",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/quad-pizza-arekere-bangalore-511016
LASSI CORNER,"Ice Cream, Fast Food, Desserts, Beverages",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/lassi-corner-bilekahalli-bangalore-345935
Just Delicious,"North Indian, Snacks, Chaat, Desserts, Punjabi, Rajasthani, Thalis, Maharashtria...",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/just-delicious-arekere-akshayanagar-bangalore-342425
Thakkali Kitchens,"Kerala, South Indian, Indian, Chinese",3.8,399,Arekere,NA,https://www.swiggy.com/restaurants/thakkali-kitchens-arekere-singasandra-arekere-bangalore-381911
Iyengar Amma Pastries,"Bakery, Snacks, Sweets",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/iyengar-amma-pastries-arekere-bangalore-419387
Snack Ride,"Snacks, Chaat, Street Food",NA,250,Arekere,NA,https://www.swiggy.com/restaurants/snack-ride-arekere-bangalore-536573
